Sample,Replicate,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30
WT -Phe,1,0.0,0.002116883,0.004602644,0.007519792,0.010940754,0.014949195,0.01964141,0.025127752,0.031534042,0.039002853,0.047694558,0.057787966,0.069480311,0.082986329,0.098536069,0.116371069,0.136738484,0.159882795,0.186034813,0.2153979,0.248131635,0.28433359,0.324020417,0.367110018,0.413407039,0.462594193,0.51423172,0.567766693,0.622552682,0.677878804,0.733005667,0.787204442,0.839794779,0.890177435,0.93785851,0.982463552,1.02374143,1.061559159,1.095889776,1.126795748,1.15441031,1.178918733,1.200541008,1.219516827,1.236093297,1.250515423,1.263019162,1.273826694,1.283143533,1.291157063,1.298036139,1.303931461,1.30897645,1.313288445,1.316970068,1.320110649,1.322787646,1.325067999,1.327009396,1.328661437,1.330066683
WT -Phe,2,0.0,0.001099934,0.002420848,0.00400656,0.005909324,0.008191334,0.01092646,0.014202205,0.018121891,0.022807042,0.028399928,0.035066149,0.042997127,0.052412251,0.063560341,0.07671996,0.092197959,0.110325487,0.131450608,0.155926584,0.184095014,0.216263347,0.25267691,0.293486612,0.338714775,0.388222998,0.441687213,0.498585591,0.558204323,0.619664167,0.681967233,0.744059487,0.80490104,0.863534446,0.919141747,0.971083519,1.018917008,1.062394302,1.101444458,1.136145018,1.166688516,1.19334866,1.216449542,1.236339776,1.253372271,1.267889505,1.280213635,1.290640575,1.299437115,1.306840253,1.31305803,1.318271312,1.322636109,1.326286128,1.329335355,1.331880543,1.33400352,1.335773291,1.337247901,1.338476078,1.339498659
WT -Phe,3,0.0,0.005225842,0.011313909,0.018396111,0.026620802,0.036153465,0.047176884,0.059890547,0.07450901,0.091258881,0.110374068,0.13208895,0.156629175,0.184199938,0.21497184,0.249064722,0.286530387,0.327335528,0.371346721,0.41831962,0.467894553,0.519600355,0.572867493,0.627050315,0.681456943,0.735384022,0.788152705,0.839142009,0.887816188,0.933743747,0.976607129,1.016203362,1.052437085,1.085307945,1.1148946,1.141337387,1.164821311,1.185560549,1.203785161,1.219730288,1.233627851,1.245700509,1.256157589,1.26519261,1.272982064,1.279685132,1.285444065,1.290385015,1.294619143,1.298243881,1.301344235,1.303994095,1.30625748,1.308189707,1.309838463,1.311244778,1.312443898,1.313466055,1.31433715,1.315079354,1.315711624
WT +0.9 mM ,1,0.0,0.001302374,0.002830471,0.004622776,0.006724098,0.009186511,0.012070418,0.015445704,0.019393,0.024005016,0.029387924,0.035662734,0.042966581,0.051453825,0.061296802,0.072686038,0.085829671,0.100951785,0.118289305,0.13808707,0.160590724,0.186037101,0.214641956,0.246585112,0.281993471,0.320922797,0.363339701,0.409105764,0.457966078,0.509544536,0.563347829,0.618779256,0.675162204,0.731771701,0.787871077,0.842749902,0.895759086,0.946339603,0.994042338,1.03853805,1.079617817,1.117185451,1.151244058,1.18187907,1.209239955,1.23352233,1.25495172,1.27376967,1.290222509,1.304552735,1.316992786,1.327760868,1.337058443,1.34506903,1.351957958,1.357872821,1.36294438,1.367287753,1.371003746,1.374180239,1.376893557
WT +0.9 mM ,2,0.0,0.001570226,0.003402074,0.005538255,0.008028134,0.010928653,0.014305338,0.018233379,0.022798776,0.028099512,0.034246708,0.041365706,0.049596978,0.059096746,0.070037155,0.082605799,0.097004364,0.113446114,0.132151914,0.153344505,0.177240761,0.204041783,0.233920839,0.267009416,0.303382006,0.343040611,0.385900395,0.431778189,0.480385728,0.531329356,0.584117443,0.638175943,0.692871446,0.747539984,0.801518891,0.85417854,0.904950767,0.953351376,0.998995043,1.041602085,1.080997589,1.117104198,1.14993032,1.179555619,1.206115505,1.229785984,1.250769851,1.26928479,1.285553648,1.299796865,1.312226898,1.323044371,1.332435671,1.340571665,1.347607291,1.353681774,1.358919271,1.363429804,1.367310344,1.370645976,1.373511072
WT +0.9 mM ,3,0.0,0.000725193,0.001586113,0.002607945,0.003820455,0.005258794,0.006964414,0.008986127,0.011381313,0.01421728,0.017572783,0.021539699,0.026224828,0.03175178,0.038262893,0.045921049,0.054911248,0.06544171,0.077744203,0.092073208,0.108703459,0.127925278,0.150037138,0.175334867,0.204097078,0.236566672,0.272928786,0.313286212,0.357634177,0.405837235,0.457611717,0.512517402,0.569961645,0.629217836,0.68945807,0.749797454,0.809345272,0.867256875,0.92277998,0.975290213,1.024312812,1.069529814,1.110774247,1.148014296,1.181331115,1.210893809,1.236934516,1.259725679,1.279560714,1.296738564,1.311552105,1.324280005,1.335181505,1.344493516,1.352429468,1.359179426,1.364911037,1.36977103,1.373886994,1.377369282,1.380312908
WT +8mM ,1,0.0,0.00020305,0.000441289,0.000720801,0.001048714,0.001433381,0.001884583,0.002413773,0.003034356,0.003762008,0.004615059,0.005614919,0.006786583,0.008159194,0.009766703,0.011648603,0.013850765,0.016426369,0.019436935,0.022953452,0.027057585,0.031842948,0.037416398,0.043899303,0.051428684,0.060158147,0.070258415,0.081917301,0.095338849,0.110741365,0.128353998,0.148411539,0.171147086,0.196782345,0.225515461,0.257506533,0.292861342,0.331614215,0.373711496,0.418997447,0.467204738,0.517951603,0.570747333,0.62500693,0.680074528,0.735253901,0.789843167,0.8431701,0.894624324,0.943683221,0.989929473,1.033059418,1.072882703,1.109314668,1.142363468,1.172114098,1.198711265,1.222342723,1.243224143,1.261586181,1.277663992
WT +8mM ,2,0.0,0.000342635,0.000737441,0.001192326,0.001716383,0.002320064,0.003015382,0.00381613,0.004738143,0.005799582,0.007021263,0.008427022,0.010044124,0.011903722,0.014041355,0.01649751,0.019318213,0.022555683,0.026269012,0.030524874,0.035398245,0.040973101,0.047343071,0.054611978,0.062894226,0.072314941,0.083009772,0.095124234,0.108812464,0.124235231,0.141557064,0.160942335,0.182550192,0.206528274,0.233005237,0.262082232,0.293823643,0.328247569,0.365316722,0.404930576,0.446919705,0.491043246,0.536990279,0.584385647,0.632800294,0.681765702,0.730791509,0.779384935,0.82707041,0.873407776,0.9180076,0.960542575,1.000754449,1.038456457,1.073531677,1.105928044,1.135650948,1.162754352,1.187331307,1.209504578,1.229417905
WT +8mM ,3,0.0,0.000366343,0.000788074,0.001273525,0.001832268,0.002475295,0.003215221,0.00406652,0.005045783,0.006172018,0.007466985,0.008955567,0.010666187,0.012631274,0.014887771,0.017477691,0.020448717,0.023854851,0.027757081,0.03222408,0.037332894,0.043169611,0.049829949,0.05741974,0.066055214,0.075863031,0.086979933,0.099551919,0.113732793,0.12968196,0.147561295,0.167530994,0.189744261,0.214340843,0.241439435,0.271129157,0.303460442,0.338435863,0.376001572,0.416040218,0.458366223,0.502724309,0.548791965,0.596186254,0.644474918,0.693191247,0.741851721,0.789975025,0.837100894,0.882807219,0.926724128,0.968544133,1.008027919,1.045005862,1.079375734,1.11109736,1.140185112,1.166699142,1.190736165,1.212420443,1.23189545
aro4-Phe,1,0.0,0.001406983,0.003069784,0.00503404,0.007353182,0.010089624,0.013316088,0.017117033,0.021590189,0.026848128,0.033019835,0.040252138,0.048710893,0.058581689,0.070069828,0.083399245,0.098809963,0.116553627,0.13688665,0.160060529,0.18630904,0.215832281,0.248777941,0.285220752,0.325141755,0.368409668,0.414767146,0.463824877,0.515065966,0.567862032,0.621500759,0.675222773,0.72826399,0.779898516,0.82947709,0.876456898,0.920420235,0.961081357,0.998282621,1.0319822,1.062236264,1.08917848,1.112999267,1.133926567,1.152209234,1.168103544,1.181862846,1.193730134,1.203933102,1.212681222,1.220164386,1.226552682,1.231996974,1.236629992,1.240567735,1.243911012,1.246747025,1.249150909,1.251187197,1.25291116,1.254370026
